messaging-pro-prod.wickr.com https://enterprise.wickr.com 200 1881 126 "messaging-pro-prod.wickr.com" "" (DNS: Resolvable, HTTPS: 404 (CL: 146, WC: 11, Location: ), HTTP: 404 (CL: 146, WC: 11, Location: ))
register-me.wickr.com https://admin.wickr.com 421 1003 123 "ERROR: The request could not be satisfied" "" (DNS: Resolvable, HTTPS: 404 (CL: 0, WC: 0, Location: ), HTTP: 404 (CL: 0, WC: 0, Location: ))
www.wickr.com https://pro-download.wickr.com 421 1003 123 "ERROR: The request could not be satisfied" "" (DNS: Resolvable, HTTPS: 200 (CL: 0, WC: 76316, Location: ), HTTP: 200 (CL: 0, WC: 76316, Location: ))
status.wickr.com https://registeraws.wickr.com 421 1003 123 "ERROR: The request could not be satisfied" "" (DNS: Resolvable, HTTPS: 200 (CL: 0, WC: 1989, Location: ), HTTP: 200 (CL: 0, WC: 1989, Location: ))
amazon.wickr.com https://54.214.205.243 200 396 13 "" "" (DNS: Resolvable, HTTPS: 200 (CL: 396, WC: 13, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
wickr.com http://register-me.wickr.com 421 1003 123 "ERROR: The request could not be satisfied" "" (DNS: Resolvable, HTTPS: 200 (CL: 0, WC: 76316, Location: ), HTTP: 200 (CL: 0, WC: 76316, Location: ))
zoeken.acp.ondernemersplein.kvk.nl https://82.201.23.29 200 1109566 45886 "KVK - Kamer van Koophandel | KVK" "" (DNS: Resolvable, HTTPS: 0 (CL: 0, WC: 0, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
zoeken1.acp.kvk.nl https://82.201.39.186 200 1109566 45886 "KVK - Kamer van Koophandel | KVK" "" (DNS: Resolvable, HTTPS: 0 (CL: 0, WC: 0, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
127.0.0.0x1 https://www.kvk.nl 200 246 17 "Request Rejected" "" (DNS: Resolvable, HTTPS: 0 (CL: 0, WC: 0, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
vbu.kvk.nl http://159.92.144.114 200 0 566 "VBU - Login" "" (DNS: Resolvable, HTTPS: 200 (CL: 0, WC: 566, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
opendata.kvk.nl http://159.92.144.114 429 0 0 "" "" (DNS: Resolvable, HTTPS: 429 (CL: 0, WC: 0, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
diensten.kvk.nl http://82.201.26.250 200 248 19 "" "" (DNS: Resolvable, HTTPS: 200 (CL: 248, WC: 19, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
enterpriseenrollment.kvk.nl http://82.201.26.250 421 1925 162 "Service unavailable" "" (DNS: Resolvable, HTTPS: 200 (CL: 1050206, WC: 25347, Location: ), HTTP: 200 (CL: 1050206, WC: 25347, Location: ))
ondertekenen-id.kvk.nl http://82.201.39.184 200 1899 118 "Kamer van Koophandel foutmelding" "" (DNS: Resolvable, HTTPS: 200 (CL: 1899, WC: 118, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
ondertekenen-id.acp.kvk.nl http://api.ondernemersplein.kvk.nl 200 1914 119 "Kamer van Koophandel foutmelding" "" (DNS: Resolvable, HTTPS: 200 (CL: 1914, WC: 119, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
idp.kvk.nl http://connect-with.kvk.nl 200 248 19 "" "" (DNS: Resolvable, HTTPS: 200 (CL: 248, WC: 19, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
swp.kvk.nl http://events.kvk.nl 200 42804 2007 "Citrix Gateway" "" (DNS: Resolvable, HTTPS: 200 (CL: 42804, WC: 2007, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
cmsgui.ondernemersplein.kvk.nl http://payt.kvk.nl 200 814 22 "CMS GUI Extensions" "" (DNS: Resolvable, HTTPS: 200 (CL: 814, WC: 22, Location: ), HTTP: 0 (CL: 0, WC: 0, Location: ))
